用例标题,channelDailyThreshold（日发放限额）,channelDailyUserThreshold（用户日充值限额）,channelName（渠道名称）,chargeRatio（兑换服务费比例）,pointExchangeRate（被兑换积分汇率(RMB)）,"pointName（	
被兑换积分名称）",judge,对应用例
全部输入正确，进行渠道创建,1000000,10000,新三方一,10,50,货币A,TRUE,HRT-MD-SRS002-236
全部输入正确（包含特殊字符），进行渠道创建,1000000,10000,新a*。、1,10,50,货币A,TRUE,HRT-MD-SRS002-237
全部输入正确（名称20位），进行渠道创建,1000000,10000,1.23457E+19,10,50,货币A,TRUE,HRT-MD-SRS002-238
全部输入正确（兑换服务费比例：1），进行渠道创建,1000000,10000,新三方久久1,20,51,货币A,TRUE,HRT-MD-SRS002-239
全部输入正确（兑换服务费比例：20），进行渠道创建,1000000,10000,新三方久久2,10,52,货币A,TRUE,HRT-MD-SRS002-240
全部输入正确（单日兑换限额为1），进行渠道创建,1,1,新三方久久3,10,52,货币A,TRUE,HRT-MD-SRS002-241
全部输入正确（单日兑换限额为9999999），进行渠道创建,9999999,10000,新三方久久4,10,52,货币A,TRUE,HRT-MD-SRS002-242
全部输入正确（单用户兑换限额为1），进行渠道创建,1000000,1,新三方久久5,10,52,货币A,TRUE,HRT-MD-SRS002-243
全部输入正确（单用户兑换限额为99999），进行渠道创建,99999,99999,新三方久久6,10,52,货币A,TRUE,HRT-MD-SRS002-244
渠道名称输入错误（为空），进行渠道创建,1000000,99999,,10,53,货币A,FALSE,HRT-MD-SRS002-245
渠道名称输入错误（长度大于20位），进行渠道创建,1000000,99999,1.23457E+20,10,54,货币A,FALSE,HRT-MD-SRS002-246
渠道名称输入错误（重复），进行渠道创建,1000000,99999,新三方一,10,55,货币A,FALSE,HRT-MD-SRS002-247
兑换积分名称输入错误（为空），进行渠道创建,1000000,99999,新三方久久10,10,56,,FALSE,HRT-MD-SRS002-248
兑换积分名称输入错误（长度大于20位），进行渠道创建,1000000,99999,新三方久久11,10,57,1.23457E+20,FALSE,HRT-MD-SRS002-249
兑换积分比例限额输入错误（为空），进行渠道创建,1000000,99999,新三方久久12,10,,货币A,FALSE,HRT-MD-SRS002-250
兑换积分比例限额输入错误（0），进行渠道创建,1000000,99999,新三方久久13,10,0,货币A,FALSE,HRT-MD-SRS002-251
兑换积分比例限额输入错误（负数），进行渠道创建,1000000,99999,新三方久久14,10,-10,货币A,FALSE,HRT-MD-SRS002-252
兑换积分比例限额输入错误（包含非数字字符），进行渠道创建,1000000,99999,新三方久久15,10,1@,货币A,FALSE,HRT-MD-SRS002-253
兑换积分比例限额输入错误（大于6个9），进行渠道创建,1000000,99999,新三方久久16,10,1111111,货币A,FALSE,HRT-MD-SRS002-254
兑换服务费比例输入错误（为空），进行渠道创建,1000000,99999,新三方久久17,,63,货币A,FALSE,HRT-MD-SRS002-255
兑换服务费比例输入错误（小于1），进行渠道创建,1000000,99999,新三方久久18,0,64,货币A,FALSE,HRT-MD-SRS002-256
兑换服务费比例输入错误（大于20），进行渠道创建,1000000,99999,新三方久久19,21,65,货币A,FALSE,HRT-MD-SRS002-257
兑换服务费比例输入错误（包含非数字字符），进行渠道创建,1000000,99999,新三方久久20,-10,65,货币A,FALSE,HRT-MD-SRS002-258
单日兑换限额输入错误（为空），进行渠道创建,1000000,99999,新三方久久20,1a,65,货币A,FALSE,HRT-MD-SRS002-259
单日兑换限额输入错误（为空），进行渠道创建,,99999,新三方久久21,10,65,货币A,FALSE,HRT-MD-SRS002-260
单日兑换限额输入错误（0），进行渠道创建,0,99999,新三方久久22,10,65,货币A,FALSE,HRT-MD-SRS002-261
单日兑换限额输入错误（负数），进行渠道创建,-1000000,99999,新三方久久23,10,65,货币A,FALSE,HRT-MD-SRS002-262
单日兑换限额输入错误（大于7个9），进行渠道创建,100000000,99999,新三方久久24,10,65,货币A,FALSE,HRT-MD-SRS002-263
单日兑换限额输入错误（包含非数字字符），进行渠道创建,100000a,99999,新三方久久25,10,65,货币A,FALSE,HRT-MD-SRS002-264
单用户兑换限额输入错误（为空），进行渠道创建,1000000,,新三方久久26,10,65,货币A,FALSE,HRT-MD-SRS002-265
单用户兑换限额输入错误（0），进行渠道创建,1000000,0,新三方久久27,10,65,货币A,FALSE,HRT-MD-SRS002-266
单用户兑换限额输入错误（负数），进行渠道创建,1000000,-100,新三方久久28,10,65,货币A,FALSE,HRT-MD-SRS002-267
单用户兑换限额输入错误（包含非数字字符），进行渠道创建,1000000,999a,新三方久久29,10,65,货币A,FALSE,HRT-MD-SRS002-268
单用户兑换限额输入错误（大于6个9），进行渠道创建,1000000,9999999,新三方久久30,10,65,货币A,FALSE,HRT-MD-SRS002-269
单用户兑换限额输入错误（大于日发放积分限额），进行渠道创建,10000,9999999,新三方久久31,10,65,货币A,FALSE,HRT-MD-SRS002-270
,,,,,,,,
